Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
10/4/2020,2/1/2020,10/3/2020,MO,COVID-19,COVID-19,U071,45-54,74,
10/4/2020,2/1/2020,10/3/2020,MO,COVID-19,COVID-19,U071,55-64,217,
10/4/2020,2/1/2020,10/3/2020,MO,COVID-19,COVID-19,U071,65-74,441,
10/4/2020,2/1/2020,10/3/2020,MO,COVID-19,COVID-19,U071,75-84,579,
10/4/2020,2/1/2020,10/3/2020,MO,COVID-19,COVID-19,U071,85+,772,
10/4/2020,2/1/2020,10/3/2020,MO,COVID-19,COVID-19,U071,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MO,COVID-19,COVID-19,U071,All Ages,2121,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,17,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,16,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,59,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,10,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,25,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,15,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory failure,J96,0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory failure,J96,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory failure,J96,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory failure,J96,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory failure,J96,55-64,15,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory failure,J96,65-74,26,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory failure,J96,75-84,22,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory failure,J96,85+,28,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory failure,J96,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory failure,J96,All Ages,98,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory arrest,R09.2,0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory arrest,R09.2,25-34,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory arrest,R09.2,35-44,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory arrest,R09.2,45-54,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory arrest,R09.2,55-64,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory arrest,R09.2,65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory arrest,R09.2,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory arrest,R09.2,85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Respiratory arrest,R09.2,All Ages,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,10,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Hypertensive diseases,I10-I15,85+,11,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,35,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,11,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Ischemic heart disease,I20-I25,85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,31,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrest,I46,0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrest,I46,25-34,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrest,I46,35-44,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrest,I46,45-54,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrest,I46,55-64,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrest,I46,65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrest,I46,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrest,I46,85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrest,I46,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrest,I46,All Ages,11,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,16,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Heart failure,I50,0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Heart failure,I50,25-34,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Heart failure,I50,35-44,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Heart failure,I50,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Heart failure,I50,55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Heart failure,I50,65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Heart failure,I50,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Heart failure,I50,85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Heart failure,I50,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Heart failure,I50,All Ages,13,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,12,
10/4/2020,2/1/2020,10/3/2020,MT,Sepsis,Sepsis,A40-A41,0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Sepsis,Sepsis,A40-A41,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Sepsis,Sepsis,A40-A41,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Sepsis,Sepsis,A40-A41,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Sepsis,Sepsis,A40-A41,55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Sepsis,Sepsis,A40-A41,65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Sepsis,Sepsis,A40-A41,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Sepsis,Sepsis,A40-A41,85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Sepsis,Sepsis,A40-A41,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Sepsis,Sepsis,A40-A41,All Ages,15,
10/4/2020,2/1/2020,10/3/2020,MT,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,0,
10/4/2020,2/1/2020,10/3/2020,MT,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,0,
10/4/2020,2/1/2020,10/3/2020,MT,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,0,
10/4/2020,2/1/2020,10/3/2020,MT,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,0,
10/4/2020,2/1/2020,10/3/2020,MT,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Diabetes,Diabetes,E10-E14,0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Diabetes,Diabetes,E10-E14,25-34,0,
10/4/2020,2/1/2020,10/3/2020,MT,Diabetes,Diabetes,E10-E14,35-44,0,
10/4/2020,2/1/2020,10/3/2020,MT,Diabetes,Diabetes,E10-E14,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Diabetes,Diabetes,E10-E14,55-64,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Diabetes,Diabetes,E10-E14,65-74,10,
10/4/2020,2/1/2020,10/3/2020,MT,Diabetes,Diabetes,E10-E14,75-84,11,
10/4/2020,2/1/2020,10/3/2020,MT,Diabetes,Diabetes,E10-E14,85+,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Diabetes,Diabetes,E10-E14,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Diabetes,Diabetes,E10-E14,All Ages,31,
10/4/2020,2/1/2020,10/3/2020,MT,Obesity,Obesity,E65-E68,0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Obesity,Obesity,E65-E68,25-34,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Obesity,Obesity,E65-E68,35-44,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Obesity,Obesity,E65-E68,45-54,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Obesity,Obesity,E65-E68,55-64,0,
10/4/2020,2/1/2020,10/3/2020,MT,Obesity,Obesity,E65-E68,65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Obesity,Obesity,E65-E68,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Obesity,Obesity,E65-E68,85+,0,
10/4/2020,2/1/2020,10/3/2020,MT,Obesity,Obesity,E65-E68,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Obesity,Obesity,E65-E68,All Ages,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Alzheimer disease,Alzheimer disease,G30,0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Alzheimer disease,Alzheimer disease,G30,25-34,0,
10/4/2020,2/1/2020,10/3/2020,MT,Alzheimer disease,Alzheimer disease,G30,35-44,0,
10/4/2020,2/1/2020,10/3/2020,MT,Alzheimer disease,Alzheimer disease,G30,45-54,0,
10/4/2020,2/1/2020,10/3/2020,MT,Alzheimer disease,Alzheimer disease,G30,55-64,0,
10/4/2020,2/1/2020,10/3/2020,MT,Alzheimer disease,Alzheimer disease,G30,65-74,0,
10/4/2020,2/1/2020,10/3/2020,MT,Alzheimer disease,Alzheimer disease,G30,75-84,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Alzheimer disease,Alzheimer disease,G30,85+,0,
10/4/2020,2/1/2020,10/3/2020,MT,Alzheimer disease,Alzheimer disease,G30,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,MT,Alzheimer disease,Alzheimer disease,G30,All Ages,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/4/2020,2/1/2020,10/3/2020,MT,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,
10/4/2020,2/1/2020,10/3/2020,MT,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0,
10/4/2020,2/1/2020,10/3/2020,MT,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,0,
10/4/2020,2/1/2020,10/3/2020,MT,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,0,
10/4/2020,2/1/2020,10/3/2020,MT,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,0,
10/4/2020,2/1/2020,10/3/2020,MT,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
